id,text,answer_ids,discipline,wiki_topic,wiki_href,advice_text
1,Which services are in the STS portfolio?,"1,2,3",,Introduction,https://www.gov.uk/guidance/meeting-digital-and-technology-standards-in-schools-and-colleges,The two digital services in STS are Plan Tech and Digital Standards.
2,Where is the prototype hosted for Plan Tech?,"7,8,9",,Design,https://www.gov.uk/guidance/meeting-digital-and-technology-standards-in-schools-and-colleges/broadband-internet-core-standard,Heroku is the hosting site for the Plan Tech prototype.
3,What do we use for content management?,"10,11,12",,Content,https://www.gov.uk/guidance/meeting-digital-and-technology-standards-in-schools-and-colleges/wireless-network-core-standard,"Our content management system (CMS) is Contentful, with backups and caching handled by Redis."
4,What is unusual about Plan Tech's authentication?,"13,14,15",Technical,DfE Sign In,https://www.gov.uk/guidance/meeting-digital-and-technology-standards-in-schools-and-colleges/network-switching-core-standard,"We use DfE Sign-In's Test environment for both our Dev and Test environments, as their Dev environment can be unstable."
5,What must you do if you push sensitive data to GitHub?,"19,20,21",Technical,Security,https://www.gov.uk/guidance/meeting-digital-and-technology-standards-in-schools-and-colleges/digital-leadership-and-governance-core-standard,"You must tell the Tech Lead, revert the changes, rotate all relevant secrets or keys and raise a security incident."
6,What types of testing do we regularly use on Plan Tech?,"22,23,24",Technical,Testing,https://www.gov.uk/guidance/meeting-digital-and-technology-standards-in-schools-and-colleges/filtering-and-monitoring-core-standard,"We use a combination of unit, integration, mutation, end-to-end (E2E) and manual testing."
7,What content type should you use to create a new recommendation?,"25,26,27",User centred design (UCD),Content types,https://www.gov.uk/guidance/meeting-digital-and-technology-standards-in-schools-and-colleges/cyber-security-core-standard,"The Recommedation Chunk is used to generate new recommendations, with text content added to its Content field."
8,How can you find User Research participants?,"28,29,30",User centred design (UCD),User research,https://www.gov.uk/guidance/plan-technology-for-your-school?utm_medium=referral&utm_source=govuk_ds,You can recruit UR participants from our local list or the DfE user research participant register.
9,What is the password for the prototype?,"31,32,33",User centred design (UCD),Design,https://www.gov.uk/guidance/meeting-digital-and-technology-standards-in-schools-and-colleges/broadband-internet-core-standard,The password and link to the prototype can be found in the Design section of the Wiki.
10,What tool do we use for managing our backlog?,"4,5,6",Product and delivery,Introduction,https://www.gov.uk/guidance/meeting-digital-and-technology-standards-in-schools-and-colleges,"We use Azure DevOps (ADO) for managing backlogs, ticket creation and secure documentation storage."
11,What step is required before an approved ticket can be brought into a sprint?,"34,35,36",Product and delivery,Ways of working,https://www.gov.uk/government/consultations/narrowing-the-digital-divide-in-schools-and-colleges,"Once a ticket is approved by the Product Manager, it should be added to the agenda for the next team refinement session, after which it can be added to a sprint."
12,Who needs to be informed if the Plan Tech experiences an outage?,"37,38,39",Product and delivery,Disaster recovery ,https://www.get-help-buying-for-schools.service.gov.uk/procurement-support,"You (or another member of the team) should alert the Service Owner and Service Delivery Manager, and ensure there is a ServiceNow incident ticket raised."
